name,instances,features,ensemble_score,top_score,normal_score,xgb_score
1027_ESL,488,4,-0.3192883857207084,-0.574240381447956,-0.22775175131879188,-0.22814660348711588
1028_SWD,1000,10,-1.4361269143923674,-2.1524356000000004,-1.368328462371054,-3.071880199770305
1029_LEV,1000,4,-2.6283188807160456,-2.4278949691582725,-2.4267315153679325,-2.442923013362341
1030_ERA,1000,4,-6.442656039636571,-5.572763024425065,-5.481923041179152,-5.4404638173133195
1096_FacultySalaries,50,4,-13.989137232214167,-11.718366043266052,-9.533983241147814,-11.404402652822542
1193_BNG_lowbwt,31104,9,-200745.77076289555,-205313.15869512648,-200549.72930080336,-200582.63462599064
1199_BNG_echoMonths,17496,9,-138.62605950188518,-146.42083931603344,-138.738300485821,-141.59477697490678
192_vineyard,52,2,-23.320609889335277,-124.71119970267486,-28.88715550421332,-23.31871799573535
195_auto_price,159,15,-3635769.9641930074,-8310705.938851665,-6344211.984860418,-4161911.7635515034
197_cpu_act,8192,21,-20.174294913746078,-21.232669843675055,-19.804908478279742,-20.80722507249741
201_pol,15000,48,-30.033212750204445,-29.51950191290957,-30.936936510212483,-134.3022677794754
207_autoPrice,159,15,-4010860.942956467,-8595372.81424506,-1462880.309898621,-1148704.8026474058
215_2dplanes,40768,10,-20.06252627484866,-19.999551738467666,-19.995400122441403,-19.996115854527368
218_house_8L,22784,8,-776500762.4104971,-838779742.1103437,-809269019.8432158,-854612797.4054933
225_puma8NH,8192,8,-30.740725693617314,-30.8225911280313,-30.60572131020962,-30.961682486670544
227_cpu_small,8192,12,-29.040896299646704,-31.999020685632384,-28.864374702703174,-30.4765529315377
229_pwLinear,200,10,-26.385838019526773,-28.390859283771082,-25.9813624511196,-26.85384431744264
230_machine_cpu,209,6,-804.8599398970289,-966.7883484962776,-4973.905533280924,-1742.2598819342768
294_satellite_image,6435,36,-26.46466476689794,-26.453026418651675,-26.513846919495283,-26.597678969468788
344_mv,40768,10,-0.024021880121825052,-0.013267779878204732,-0.013292592931176076,-0.10277282169191092
4544_GeographicalOriginalofMusic,1059,117,-1.3768663367935083,-0.2781917416635402,-0.25770343016781694,-0.42269528487182945
503_wind,6574,14,-9.369606232560429,-9.865672147086483,-9.561411611699475,-9.495803714417852
505_tecator,240,124,-0.4226967503789891,-1.739538139142746,-1.5594631122302987,-0.9419372164242784
519_vinnie,380,2,-1.9113753433806944,-1.9211210100205267,-1.9211305237654022,-2.172540801052649
522_pm10,500,7,-0.6260232533464046,-0.460374750737825,-0.45479256095585535,-0.42063601279864576
523_analcatdata_neavote,100,2,-0.776738329853585,-0.7491795589833312,-0.7445101906640368,-32.44507682607989
527_analcatdata_election2000,67,14,-13691198.967219114,-1881.6079372026504,-6.374712817452842e-17,-133522798.15245545
529_pollen,3848,4,-2.390127913685145,-2.2135686736259403,-2.2178752210844612,-2.5390702100783513
537_houses,20640,8,-2234434558.272234,-2644076844.63379,-2502491481.6714125,-3082551018.500856
547_no2,500,7,-0.7438523922493309,-0.2924666196305792,-0.18890473200481772,-0.18170139092816584
556_analcatdata_apnea2,475,3,-1095552.257841099,-975081.093037491,-713908.8268005059,-1023041.6232999885
557_analcatdata_apnea1,475,3,-1230447.755223638,-1161809.5622321633,-1170332.001300529,-1257226.6203947426
560_bodyfat,252,14,-1.4471598036455362,-2.2807318708561835,-0.6868298025857775,-1.1012419340725106
561_cpu,209,7,-7503.899101314036,-8212.387386703878,-4205.106608266865,-5216.290951539602
562_cpu_small,8192,12,-8.314273105351042,-10.946199212535966,-6.709567675839333,-8.826240657321016
573_cpu_act,8192,21,-7.120802759578527,-7.363087323605846,-8.031076301065019,-8.98664109185469
574_house_16H,22784,16,-923125209.3183281,-1015233497.9311574,-913368385.6889849,-1119735443.2924228
663_rabe_266,120,2,-49.996127729208936,-5313.779988438942,-15.225551206680562,-8.638720913911145
665_sleuth_case2002,147,6,-61.44319517166586,-61.363281738997124,-61.019517477191094,-67.43618187499528
666_rmftsa_ladata,508,10,-3.0243070202934663,-3.1473271870147723,-2.9906584349677274,-3.0022024199372876
678_visualizing_environmental,111,3,-10.325196524607666,-13.297535622320554,-7.500119154577896,-9.413486775090803
687_sleuth_ex1605,62,5,-96.36709526226691,-113.4266091857009,-66.08807482379977,-108.044829655184
690_visualizing_galaxy,323,4,-274.9672682762833,-377.1584065914645,-255.42144552204556,-227.7901041450692
695_chatfield_4,235,12,-350.1431577831522,-333.98658027671087,-348.5901363938896,-410.9289853162243
712_chscase_geyser1,222,2,-42.67761935768023,-34.81630950167138,-45.9018944083789,-47.23543945702996
